Zoekwoord;Intentie;Doelpagina;Google organisch (positie);Local pack top-3? (J/N);Datum check;Concurrent #1;Notities
glazenwasser apeldoorn;Commercieel / lokaal;/ (home);;;;;Hoofdzoekwoord
glazenwasserij apeldoorn;Commercieel / lokaal;/ (home);;;;;
ramen laten wassen apeldoorn;Commercieel;/ (home);;;;;
glazenwasser apeldoorn particulier;Commercieel;/glazenwassen-particulier;;;;;
glazenwasser apeldoorn zakelijk;Commercieel;/glazenwassen-zakelijk;;;;;
glazenwasser in de buurt;Lokaal;/ (home);;;;;Hangt sterk van locatie af
glazenwasser kosten apeldoorn;Commercieel / info;/tarieven;;;;;
glazenwasser prijs;Commercieel / info;/tarieven;;;;;
glazenwasser ugchelen;Lokaal;/glazenwasser-ugchelen;;;;;
glazenwasser beekbergen;Lokaal;/glazenwasser-beekbergen;;;;;
glazenwasser loenen;Lokaal;/glazenwasser-loenen;;;;;
glazenwasser vaassen;Lokaal;/glazenwasser-vaassen;;;;;
glazenwasser twello;Lokaal;/glazenwasser-twello;;;;;
zonnepanelen reinigen apeldoorn;Commercieel;/zonnepanelen-schoonmaken;;;;;
gevelreiniging apeldoorn;Commercieel;/gevelreiniging;;;;;
dakgootreiniging apeldoorn;Commercieel;/dakgoot-schoonmaken;;;;;
etalage reinigen apeldoorn;Commercieel;/etalage-reinigen;;;;;
glazenwasser zonnepanelen apeldoorn;Commercieel;/zonnepanelen-schoonmaken;;;;;
dakgoot schoonmaken apeldoorn;Commercieel / lokaal;/dakgoot-schoonmaken;77,5;;2026-08-08;;Nulmeting GSC, 160 vertoningen
dakgoten schoonmaken apeldoorn;Commercieel / lokaal;/dakgoot-schoonmaken;70,2;;2026-08-08;;Nulmeting GSC, 66 vertoningen
dakgoot schoonmaken twello;Commercieel / lokaal;/dakgoot-schoonmaken;;;2026-08-08;;Ahrefs 100/mnd, nog geen vertoningen
zonnepanelen schoonmaken apeldoorn;Commercieel / lokaal;/zonnepanelen-schoonmaken;21,2;;2026-08-08;;Nulmeting GSC, 122 vertoningen
glasbewassing apeldoorn;Commercieel / lokaal;/ (home);13,2;;2026-08-08;;Nulmeting GSC, 71 vertoningen
glazenwasser apeldoorn de maten;Commercieel / lokaal;/glazenwasser-apeldoorn-de-maten;3,0;;2026-08-08;;Stond op pos 3 zonder eigen pagina
glazenwasser apeldoorn zuid;Commercieel / lokaal;/glazenwasser-apeldoorn-zuid;18,7;;2026-08-08;;Nulmeting GSC, 78 vertoningen
glazenwasser apeldoorn kosten;Commercieel / lokaal;/tarieven;10,7;;2026-08-08;;Tarievenpagina krijgt zelf 0 vertoningen
dakkapel reinigen apeldoorn;Commercieel / lokaal;(nog geen pagina);89,7;;2026-08-08;;Geblokkeerd tot Michael bevestigt
